a	ئا
نامێانا	فارسی:١) درها را بستم ٢‌) از داخل ‌آنها ٣) دامها را گستراندم‌
نامێانەو	فارسی:نگا نامێانا
نامێان‌	فارسی:١) نام‌ آنها ٢) داخل‌ آنها ٣) درها را بستم‌
نامێيەو	فارسی:نگا نامێا
نامێيەوەن‌	فارسی:دو روستای علیا و سفلی در مادیدشت‌
نام‌	فارسی:١) نهادم‌، گذاشتم ٢‌) نام‌، اسم‌ ٣) داخل‌، تو ٤) نیایم‌ ٥) یا
نام‌ تەنگ	فارسی:روستایی در هرسین
نام‌ ڕوو‌	فارسی:روستایی در جلالوند
نانا	فارسی:١) بر نگردید ٢) بستند ٣) دام‌ نهادن ٤‌) خانەای ‌را برای ‌دزدی دید زدن‌ ٥) گیاه ‌نعناع‌
نانخوەر	فارسی:كنایه ‌از فرزندان ‌و اعـضای خانواده‌
ناندان‌	فارسی:١) بخشنده ‌بودن ٢) محل ‌نگهداری نان‌
نان درار	فارسی:١) نان ‌آور ٢) آنكه‌ نان ‌از تنور بیرون می‌آورد
ناندەر	فارسی:كنایه ‌از سرپرست‌
ناندێن‌	فارسی:ظرف‌ نان ‌دانی
نانكەر	فارسی:١) نان ‌پزخانه ٢‌) نانوا
نانكوور	فارسی:خسیس‌
نانە	فارسی:١) نیائید به‌... ٢) دنبال ‌كردند ٣) گذاشته‌اند در...
نانەبان‌	فارسی:١) بر نهادن‌، بالا نهادن ٢‌) زیان ‌كردن‌، ضرر كردن‌
نانەجیم‌	فارسی:نانجیب‌
نانەخوار	فارسی:١) پایین ‌نیائید ٢) پایین ‌گذاشتند
نانەدەم‌	فارسی:١) دروغی را از جانب ‌كسی ‌گفتن ٢‌) چیزی ‌را به ‌دهان گذاشتن‌
نانەدەنگ‌	فارسی:‌چیزی ‌‌نگویید، حرف‌ نزنید
نانە زگْ‌ یەك‌	فارسی:یكدیگر را به ‌جان ‌هم‌ انداختن‌
نانەزگ‌	فارسی:مزدوری برای‌ نان‌
نانەسا	فارسی:١) مرغ‌ كـُرچ ‌را روی تخمها خوابانده‌اند ٢) دام‌ گسترانده‌اند ٣) درها را بسته‌اند ٤) محلی را برای ‌دزدی در نظر گرفته‌اند ٥) آغاز كرده‌اند
نانەسانا	فارسی:درها را بسته‌اند
نانەسانەو	فارسی:درها را بسته‌اند
نانەسان‌	فارسی:١) درها را بسته‌اند ٢) گذاشتەاند در...
نانەسەر	فارسی:‌١) بر سر گذاشتن‌، بالا گذاشتن‌ ٢) دنبال‌ كردن‌
نانەسەو	فارسی:نگا نانه‌سا
نانەسەوەی	فارسی:١) آن‌ درها را بسته‌اند ٢) آن‌ دامها را گسترانده‌اند ٣) آن ‌را آغاز كرده‌اند
نانەسەی	فارسی:١) آن‌ را گذاشته‌اند در... ٢) درها را بسته‌اند
نانەسێا	فارسی:١) ‌مرغ‌ كـُرچ‌ راروی ‌تخمهایش خوابانیده‌اند ٢) درها را بسته‌اند ٣) آغاز كرده‌اند ٤) محلی برای ‌دزدی در نظر گرفته‌اند ٥) دام‌ها را گسترانده‌اند
نانەسێانا	فارسی:نگا نانه‌سانا
نانەسێانەو	فارسی:نگا نانه‌سانه‌و
نانەسێان‌	فارسی:نگا نانه‌سان‌
نانەسێيەو	فارسی:نگا نانه‌سێا
نانەشان‌	فارسی:١) بدوش‌ گرفتند ٢) كنار هم‌ گذاشتن‌
نانەشوون‌	فارسی:دنبال ‌كردن‌
نانەكەل‌	فارسی:همه‌ چیز خود را در راه‌... صرف‌ كردن‌
نانەكووڵ	فارسی:بردوش گرفتن‌
نانەلا	فارسی:١) بر كنار كردند، كنار گذاشتند ٢) برای‌ روز مبادا ذخیره‌ كردند
نانەلەم‌	فارسی:مزدوری برای ‌نان‌
نانەمل‌	فارسی:بر عهده ‌نهادن‌
نانەو	فارسی:نگا نانا
نانەوا	فارسی:نانوا
نانەواخانە	فارسی:نانوایی
نانەوای	فارسی:نانوایی
نانەوشان‌	فارسی:كنار هم‌ گذاشتن‌
نانەوشكە	فارسی:نان‌ خشك‌ شده‌
نانەوە	فارسی:نگا نانا
نانەوەر	فارسی:١) جلوی دست‌ گذاشتن‌ ٢) جلو نیائید
نانەوەرا	فارسی:جلو نیائید، پیش ‌نیائید
نانەوەی	فارسی:١) آغاز كردند ٢) آن ‌دام‌ را گستراندند ٣) در را بستند
نانه ‌پەچانی	فارسی:وسیلەای كه ‌پس‌ ازعروس‌ بخانه ‌‌داماد می‌برند
نانە پەیتاك‌	فارسی:همه ‌چیز را در راه‌... صرف‌ كردن‌
نانەڕەت‌	فارسی:دنبال ‌كردن‌
نانەڕەقە	فارسی:١) نان ‌خشك ‌شده‌ ٢) بازیی ‌كه ‌در آن‌ دو نفر از پشت دستها را در كتف ‌قلاب ‌می‌كنند و به ‌نوبت ‌با خم ‌را‌ست ‌شدن‌ یکدیگر را كول‌ می‌كنند
نانەیەكەو	فارسی:١) بر هم‌ نهادن‌ ٢) فرو بستن‌
نانەیەك‌	فارسی:١) بر هم‌ نهادن ٢‌) فروبستن‌، فرو بردن‌
نانْ ساڵ	فارسی:سالگرد، سر سال‌
نانْ‌ تیری	فارسی:نوعی ‌نان ‌نازك ‌كه ‌با خمیر فـطیر سازند
نانێیا	فارسی:١) آغاز كردند ٢) محلی را برای ‌دزدی زیر نظر دارند ٣) مرغ‌ كـُرچ ‌را روی تخمهایش‌ خوابانیدند ٤) دامها را گستراندند ٥) درها و پنجره‌ها را محكم‌ بستند
نانێیەو	فارسی:نگا نانێا
نان‌	فارسی:١) نان ‌خوراكی ٢‌‌) نهادند، گذاشتند ٣) نیائید ٤) بستن‌، آنها بستند ٥) پسوند به ‌معنی ‌نهادن‌
نان ‌بدە	فارسی:بخشنده‌، نان ‌بده‌
نان‌ بڕ	فارسی:عكس‌ بخشنده‌
نان ‌بڕیاێ	فارسی:١) كنایه ‌از بینوا ٢) اصطلاحی دربیان ‌تعریف ‌كسی‌
نان‌ بڕین‌	فارسی:نان‌ و نوای كسی ‌را بریدن‌
نان ‌ساجی‌	فارسی:نان‌ ساجی‌
نان ‌سەنگەك‌	فارسی:نان ‌سنگك‌
نان ‌شاتای	فارسی:نان ‌تافتون‌
نان ‌كردن‌	فارسی:نان‌پختن‌
نان‌ و نمەك‌	فارسی:نان‌ و نمك‌، حق ‌شناسی
ناهامار	فارسی:ناهموار
ناهروو	فارسی:گوسفندی‌ كه‌ به‌ برّه‌اش ‌شیر نمی‌دهد یا برّه‌ دیگری را نمی‌پذیرد
ناهمێ	فارسی:ناامید
ناهمێد	فارسی:ناامید
ناهەق‌	فارسی:ناحق‌
ناهەڵموونە	فارسی:آنی، ناگهانی، اتفاقی
ناهومێد	فارسی:ناامید
ناهیت‌	فارسی:ناهید، در پهلوی (nahît ناهیت‌) نوشته‌ شده‌
ناو	فارسی:١) داخل‌، تو ٢) نام‌ در لاتین‌ (novn) گویند ٣) دشت‌، دیار ٤) نیا، امر به‌ نیامدن ٥‌) مغز، هسته‌ ٦) ناو آسیاب‌
ناوئاخن‌	فارسی:آگنه‌، آگندن‌
ناوا	فارسی:١) نمی‌برد ٢) برنگرد ٣) از داخل‌، از درون‌
ناواخن‌	فارسی:آگنه‌
ناواخون‌	فارسی:١) بوته‌های‌ خشك‌ و تر را از هم‌ تمیز دادن ‌بویژه‌ در هنگام‌ كندن ‌نخود ٢) آمیختن، چپاندن
ناوارد	فارسی:ناوارد
ناوان‌	فارسی:میان‌، میانه‌
ناواژە	فارسی:نگا ته‌نكه‌بڕ
ناواڵق‌	فارسی:نابالغ‌
ناوبردن‌	فارسی:نام ‌كسی‌ را بردن‌
ناوبەنن‌	فارسی:پرده ‌‌مشیمه‌
ناو بەین‌	فارسی:١) مابین ٢‌) پرده‌ی مشیمیه‌، دیافراگم‌
ناوبڕ	فارسی:كسی ‌كه ‌در ثبت‌ احوال ‌نام ‌مولود را می‌نویسد
ناو بڕین‌	فارسی:نامگذاری كردن‌ نوزاد
ناوتەنگ‌	فارسی:١) روستایی در بخش منـصوری ٢‌) روستایی در کرند غرب
ناوتڵە‌كانە	فارسی:نگا ناو پڵه‌‌كانه‌
ناوتێوْڵ	فارسی:وسـط پیشانی‌
ناوجی	فارسی:میانجی گری كردن‌
ناوجی كردن‌	فارسی:میانجی گری كردن‌
ناوجی كەر	فارسی:میانجی كننده‌
ناوحسار	فارسی:در حیاط‌ خانه‌
ناوحەسار	فارسی:در حیاط‌ خانه‌
ناوخالی‌	فارسی:میان‌ تهی
ناوخەت كردن‌	فارسی:‌نگا ناوخه‌ت‌
ناوخەت‌	فارسی:به ‌بدی نام‌ بردن‌، خـط ‌بـطـلان‌ بر نام‌ كسی ‌زدن‌
ناوخوا	فارسی:ناودان‌
ناوخوڕ	فارسی:ناودان‌
ناوخڕان‌	فارسی:دامنه ‌‌بین ‌درّه‌
ناوخۆژوان	فارسی:روستایی در جوانرود
ناودار	فارسی:١) نامدار، مشهور ٢) روستایی در ویژنان از توابع گیلانغرب‌
ناودارْ قورووتـْگ	فارسی:روستایی در ویژنان از توابع گیلانغرب‌
ناودارْ مەسؤری	فارسی:روستایی در منـصوری
ناودقاڵان‌	فارسی:میان ‌پاها
ناودەروەن‌	فارسی:منـطقه‌ای‌ در كرماشان‌
ناودەس‌	فارسی:كف ‌دست‌
ناودەنێ	فارسی:هنگامی ‌كه‌ گاو بعلت ‌خوردن ‌بیش ازحد شبدر ویونجه ‌سیرابی‌اش ‌باد می‌كند و در شـُرف ‌مردن ‌ا‌ست‌ با چاقویی تمیز از زیر آخرین ‌دنده ‌سمت ‌چپ‌ كه ‌سیرابی ‌در زیر آن ‌ا‌ست‌ چاقو را فرو می‌كنند و بدین‌ ترتیب ‌باد ناشی ‌از نفخ‌ شبدر خالی‌ می‌شود این ‌عمل‌ را «ناو ده‌نێ دان‌» گویند
ناو دەیشت‌	فارسی:بیرون ‌از منزل‌، دشت‌
ناودەیشت‌ كردن‌	فارسی:سراسیمه ‌شدن‌
ناو زڕانن‌	فارسی:١) رسوا كردن‌، بدنام ‌كردن ٢‌) غیبت‌ كسی ‌را كردن‌
ناو زڕیان‌	فارسی:رسوا شدن‌
ناو زڕیاگ‌	فارسی:رسوا شده‌
ناو زڕیاێ	فارسی:رسوا شده‌
ناوزگ‌	فارسی:‌١) دل‌ و قلوه، احشاء ٢) كنایه‌ از دل‌ وجرأت ‌داشتن‌
ناوزگ‌ بردن‌	فارسی:ترساندن‌
ناوزگ‌ برشیان‌	فارسی:دلسوزی‌ كردن‌، ترحم‌ كردن‌
ناوزگ‌ وه ‌خوار چین‌	فارسی:كنایه‌ از ترسیدن‌
ناوسەر	فارسی:بروی ‌سر، مانند بروی ‌چشم‌
ناوشاخ‌	فارسی:مابین ‌دو شاخ‌ حیوان‌، ملاج‌
ناوشار	فارسی:در مركز شهر
ناوشان‌	فارسی:میان‌ كتفها
ناوقاڵان‌	فارسی:میان‌ پاها
ناوقەی	فارسی:كمر
ناوقەی بەن‌	فارسی:كمربند
ناوكبڕ	فارسی:ناف‌ بـُر
ناوكبڕین‌	فارسی:١) بریدن ‌بند ناف‌ هنگام‌ تولد ٢) كنایه ‌از خواستگاری ‌كردن‌ در همان‌ زمان ‌تولد
ناوكریسانە	فارسی:نگا ناوكریسه‌
ناوكریسە	فارسی:١) در اثر تشنگی ‌و گرسنگی ‌خمیدن ‌و بی حال ‌شدن ٢‌) كنایه‌ از ناراحتی و افسردگی
ناوكریسە دان‌	فارسی:در اثر افسردگی و ناراحتی ‌خمیده ‌شدن‌
ناوكوتە	فارسی:بیماری ‌احشام‌ ناشی ‌از بی تحركی
ناوكورەك‌	فارسی:نگا كوره‌ك‌
ناوكونؤسە	فارسی:نگا ناوكریسه‌
ناوكونؤسە دان‌	فارسی:نگا ناوكریسه‌دان‌
ناوكوُرا بؤن‌	فارسی:از صفحه‌‌‌ روزگار محو شدن‌
ناوكوُرا كردن	فارسی:نام‌ كسی را از صفحه‌‌‌ روزگار پاك ‌كردن‌
ناوكوُرەو كردن	فارسی:نام‌ كسی‌ را از صفحه‌‌‌ ‌روزگار پاك‌ كردن‌
ناوكوُكه	فارسی:١) اصیل‌، بچه ‌‌ناف ِ... ٢) قسمتی‌ از زمین ‌كه ‌آبگیر نیست‌
ناوكوُمه	فارسی:قسمتی ‌از زمین ‌كه آبگیر نیست‌، جزیره
ناوكوڵان‌	فارسی:١) فاصله‌‌ی بین ‌دو زمین ‌كشاورزی ‌‌كه ‌گیاه ‌انبوه‌ دارد وبرای ‌چرا مناسب ‌ا‌ست‌ ٢) میان‌ كتفها ٣) فاصله‌‌ی بین ‌دو دیر‌ك سیاه‌چادر
ناوكیش‌	فارسی:تـُنك ‌كردن ‌صیفیجات‌
ناوكیش ‌كردن‌	فارسی:تـُنك ‌كردن‌ ‌صیفیجات‌
ناوك‌	فارسی:١) هسته‌، مغز ٢) ناف‌، در لاتین‌ (navel) گویند ٣) محتوا، محتوای كلام‌
ناوك‌ خوەشه ‌بؤن‌	فارسی:كسی كه‌ مرتب‌ دچار کلیت معده می‌شود
ناوك ‌كەفتن‌	فارسی:بیماریی كه‌ گویند ناشی‌ از جابجایی بند ‌ناف ‌ا‌ست، کلیت معده‌
ناوك ‌گرتنەو	فارسی:نوعی‌ درمان‌ برای ‌بند ناف ‌كه ‌اصطلاحا افتاده‌
ناولقان‌	فارسی:١) میان‌ دو شاخه ٢‌) نگا دۆ‌گڵاشكو
ناولنگان‌	فارسی:میان‌ رانها
ناولنگ‌	فارسی:میان‌ رانها
ناولەپان‌	فارسی:میان‌ كف‌ دستان‌
ناولەپ‌	فارسی:كف‌ دست‌
ناومان‌	فارسی:در میان ‌ما
ناوماڵ	فارسی:اثاثیه ‌‌منزل‌
ناوماڵە‌	فارسی:اثاثیه ‌‌منزل‌
ناومیل‌	فارسی:روستایی در سراب‌ گرم از توابع ‌سرپـُل ‌ذهاب‌
ناومیەرن‌	فارسی:تكەچوبی به‌ قـطر ده‌ و طول‌ پنجاه ‌سانتیمتر و سوراخدار كه بوسیله ‌‌رسن ‌به ‌گردن ‌گاو می‌بندند تا كمتر بدود زیرا هنگام‌ دویدن‌ به ‌دستهایش‌ می‌خورد و مانع ‌دویدن ‌گاو می‌شود
ناومیەرگ‌	فارسی:مهرەای كه ‌به ‌مشك‌ آویزند برای‌ دفع ‌چشم‌ زخم‌
ناونؤتگ‌	فارسی:آبا و اجداد
ناونؤسان‌	فارسی:نام ‌نویسی كردن‌
ناونؤسی	فارسی:نام‌نویسی كردن‌
ناونؤس‌	فارسی:آمارگیر، نام ‌نویس‌
ناونازار	فارسی:اصطلاحاً به‌ معنی ‌مقدس‌
ناونانی	فارسی:خود شیرینی ، چاپلوسی‌
ناونان‌	فارسی:نامگذاری كردن‌
ناونـْگی	فارسی:نگا ناونی
ناونەسەق‌	فارسی:دشنام‌، (ناو=نام + نه‌سه‌ق= نسب‌) نام‌ گذشتگان‌ را به بدی بردن‌
ناونەسەق‌ وەتن‌	فارسی:دشنام دادن‌
ناونەوەر	فارسی:بیماری ‌سرطان‌
